event_name,fighter_a,fighter_b,winner,method,end_round,end_time,date_added,fa_sig_landed,fa_sig_att,fb_sig_landed,fb_sig_att,fa_total_landed,fa_total_att,fb_total_landed,fb_total_att,fa_td_landed,fa_td_att,fb_td_landed,fb_td_att,fa_kd,fb_kd,fa_head,fa_body,fa_leg,fb_head,fb_body,fb_leg,card_position
UFC 329: McGregor vs. Holloway 2,Terrance McKinney,King Green,King Green,KO/TKO,1,4:59,2026-07-11,,,,,,,,,,,,,,,,,,,,,Main Card
UFC 329: McGregor vs. Holloway 2,Nikita Krylov,Robert Whittaker,Robert Whittaker,KO/TKO,3,1:01,2026-07-11,,,,,,,,,,,,,,,,,,,,,Prelims
UFC 329: McGregor vs. Holloway 2,Gable Steveson,Elisha Ellison,Gable Steveson,KO/TKO,1,2:31,2026-07-11,,,,,,,,,,,,,,,,,,,,,Prelims
UFC 329: McGregor vs. Holloway 2,Cody Garbrandt,Adrian Yanez,Adrian Yanez,KO/TKO,1,2:47,2026-07-11,,,,,,,,,,,,,,,,,,,,,Prelims
UFC 329: McGregor vs. Holloway 2,Luke Riley,Kai Kamaka III,Luke Riley,KO/TKO,1,3:03,2026-07-11,,,,,,,,,,,,,,,,,,,,,Prelims
UFC 329: McGregor vs. Holloway 2,Tracy Cortez,Cong Wang,Cong Wang,Decision - Unanimous,3,,2026-07-11,,,,,,,,,,,,,,,,,,,,,Prelims
UFC 329: McGregor vs. Holloway 2,Cesar Almeida,Damian Pinas,Damian Pinas,KO/TKO,1,4:44,2026-07-11,,,,,,,,,,,,,,,,,,,,,Prelims
UFC 329: McGregor vs. Holloway 2,Farid Basharat,John Garza,Farid Basharat,Decision - Unanimous,3,,2026-07-11,,,,,,,,,,,,,,,,,,,,,Prelims
UFC 329: McGregor vs. Holloway 2,Ryan Gandra,Zach Reese,Ryan Gandra,KO/TKO,1,1:15,2026-07-11,,,,,,,,,,,,,,,,,,,,,Prelims
UFC 329: McGregor vs. Holloway 2,Alessandro Costa,Cody Durden,Alessandro Costa,Submission,2,2:19,2026-07-11,,,,,,,,,,,,,,,,,,,,,Prelims
UFC 329: McGregor vs. Holloway 2,Conor McGregor,Max Holloway,Max Holloway,KO/TKO,1,1:09,2026-07-12,,,,,,,,,,,,,,,,,,,,,Main Event
UFC 329: McGregor vs. Holloway 2,Benoit Saint-Denis,Paddy Pimblett,Paddy Pimblett,Submission,1,0:52,2026-07-12,,,,,,,,,,,,,,,,,,,,,Co-Main Event
